              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp    repl    feas        seed
    del-n1000-k5-s2292   1000    5  1800.0077    29.5334    0.1600  1022.7052  0.0000  613.5288  120594  120360  2732996365
   del-n1000-k5-s54458   1000    5  1800.0016  1185.1876    0.0252   724.1602  0.0000  607.5036  115792  114957  1709951412
   del-n1000-k5-s54458   1000    5  1800.0014   547.8732    0.0194   778.7002  0.0000  609.5170  115426  114610   814190389
   del-n1000-k5-s54458   1000    5  1800.0021   179.2323    0.0124   879.0218  0.0000  607.0875  115533  114716  3626596914
   del-n1000-k5-s54458   1000    5  1800.0016    15.2887    0.0106  1000.5513  0.0000  611.0428  115520  114715  1130000831
   del-n1000-k5-s54458   1000    5  1800.0035  1061.7725    0.0269   724.1602  0.0000  607.5036  115749  114859  3406773933
   del-n1000-k5-s54458   1000    5  1800.0055   748.1675    0.0151   823.1705  0.0000  609.5170  115587  114763    10486866
   del-n1000-k5-s54458   1000    5  1800.0016  1000.4724    0.0728   995.5143  0.0000  607.0875  115508  114631   737155650
   del-n1000-k5-s54458   1000    5  1800.0059  1069.3656    0.0137   996.1681  0.0000  610.4066  115600  114744  3477687602
   del-n1000-k5-s54458   1000    5  1800.0060   456.1580    0.0203   724.1602  0.0000  607.5036  115073  114292  2340720487
   del-n1000-k5-s54458   1000    5  1800.0016   374.0320    0.0249   879.0218  0.0000  607.5036  115933  115084  3917687280
   del-n1000-k5-s59721   1000    5  1800.0057     2.2942    0.0000   728.7131  0.0000  610.6518  125910  125414    50959560
   del-n1000-k5-s59721   1000    5  1800.0077     0.5599    0.0000   838.1108  0.0000  610.6518  125781  125278  1161956178
   del-n1000-k5-s59721   1000    5  1800.0025     0.1489    0.0376   722.6979  0.0000  610.6518  125949  125428  4067903526
   del-n1000-k5-s59721   1000    5  1800.0023     0.4496    0.0376   722.6979  0.0000  610.6518  125540  125014  1635958448
   del-n1000-k5-s59721   1000    5  1800.0081     0.0919    0.0000   852.1077  0.0000  610.6518  125754  125275  1817945306
   del-n1000-k5-s59721   1000    5  1800.0018     0.3340    0.0376   722.6979  0.0000  610.6518  125697  125164   341970176
   del-n1000-k5-s59721   1000    5  1800.0018     0.4319    0.0074   994.6033  0.0000  610.6518  125572  125092  2148683442
   del-n1000-k5-s59721   1000    5  1800.0017     0.8801    0.0009   968.6425  0.0000  610.6518  125599  125093    12476474
   del-n1000-k5-s59721   1000    5  1800.0092     0.1549    0.0074   994.6033  0.0000  610.6518  125767  125275  2581468038
   del-n1000-k5-s59721   1000    5  1800.0063     0.8258    0.0312   722.6979  0.0000  610.6518  125862  125374  2585486101
del-n10000-k100-s11912  10000  100  1800.0014  1210.5820   14.6235   772.7032  0.0008  671.6562    5078       0  1537875101
del-n10000-k100-s11912  10000  100  1800.0597   449.7601    9.9041   689.3518  0.0000  618.4667    5073       1  4244005515
del-n10000-k100-s11912  10000  100  1800.0016   657.0637   12.4623   732.5290  0.0000  702.6638    4888       1  4032881066
del-n10000-k100-s11912  10000  100  1800.0015    84.0334   12.5627   325.4617  0.0000  686.6816    4967       1  2874980764
del-n10000-k100-s11912  10000  100  1800.0003   595.8562   12.5202   322.5723  0.0000  267.3640    4922       1   904444382
